{'loss': 0.3727, 'learning_rate': 0.000267, 'epoch': 0.45, 'steps': 221}
{'loss': 0.3952, 'learning_rate': 0.0002667272727272727, 'epoch': 0.45, 'steps': 222}
{'loss': 0.3684, 'learning_rate': 0.0002664545454545454, 'epoch': 0.45, 'steps': 223}
{'loss': 0.3741, 'learning_rate': 0.0002661818181818182, 'epoch': 0.46, 'steps': 224}
{'loss': 0.3649, 'learning_rate': 0.0002659090909090909, 'epoch': 0.46, 'steps': 225}
{'loss': 0.3616, 'learning_rate': 0.0002656363636363636, 'epoch': 0.46, 'steps': 226}
{'loss': 0.3491, 'learning_rate': 0.00026536363636363633, 'epoch': 0.46, 'steps': 227}
{'loss': 0.3517, 'learning_rate': 0.00026509090909090905, 'epoch': 0.46, 'steps': 228}
{'loss': 0.333, 'learning_rate': 0.00026481818181818176, 'epoch': 0.47, 'steps': 229}
{'loss': 0.3568, 'learning_rate': 0.00026454545454545453, 'epoch': 0.47, 'steps': 230}
{'loss': 0.3329, 'learning_rate': 0.00026427272727272725, 'epoch': 0.47, 'steps': 231}
{'loss': 0.3254, 'learning_rate': 0.00026399999999999997, 'epoch': 0.47, 'steps': 232}
{'loss': 0.3237, 'learning_rate': 0.00026372727272727274, 'epoch': 0.47, 'steps': 233}
{'loss': 0.3129, 'learning_rate': 0.00026345454545454545, 'epoch': 0.48, 'steps': 234}
{'loss': 0.3157, 'learning_rate': 0.00026318181818181817, 'epoch': 0.48, 'steps': 235}
{'loss': 0.3095, 'learning_rate': 0.0002629090909090909, 'epoch': 0.48, 'steps': 236}
{'loss': 0.2991, 'learning_rate': 0.0002626363636363636, 'epoch': 0.48, 'steps': 237}
{'loss': 0.2987, 'learning_rate': 0.0002623636363636363, 'epoch': 0.48, 'steps': 238}
{'loss': 0.2854, 'learning_rate': 0.0002620909090909091, 'epoch': 0.49, 'steps': 239}
{'loss': 0.2943, 'learning_rate': 0.0002618181818181818, 'epoch': 0.49, 'steps': 240}
{'loss': 0.2843, 'learning_rate': 0.0002615454545454545, 'epoch': 0.49, 'steps': 241}
{'loss': 0.274, 'learning_rate': 0.00026127272727272723, 'epoch': 0.49, 'steps': 242}
{'loss': 0.262, 'learning_rate': 0.000261, 'epoch': 0.49, 'steps': 243}
{'loss': 0.2745, 'learning_rate': 0.0002607272727272727, 'epoch': 0.5, 'steps': 244}
{'loss': 0.2667, 'learning_rate': 0.00026045454545454543, 'epoch': 0.5, 'steps': 245}
{'loss': 0.2582, 'learning_rate': 0.00026018181818181815, 'epoch': 0.5, 'steps': 246}
{'loss': 0.2485, 'learning_rate': 0.00025990909090909086, 'epoch': 0.5, 'steps': 247}
{'loss': 0.253, 'learning_rate': 0.00025963636363636363, 'epoch': 0.5, 'steps': 248}
